Ano,Trimestre,UF,UPA,V1008,V1014,V2003,VD4009,V4019,VD4012,VD4002,V2007,V2010,V2009,VD2002,VD2003,V1022,V1023,VD3004,V3002,VD4010,VD4011,V4018,V4025,V4040,VD4031,V1028,VD4016,VD4017
2025,3,52,520186547,7,12,2,1.0,,1.0,1.0,1,4,27,2,4,1,4,5.0,2.0,2.0,5.0,4.0,2.0,2.0,80.0,478.39172086,2000.0,2000.0
2025,4,25,250031904,1,12,1,,,,2.0,2,1,46,1,4,1,2,7.0,2.0,,,,,,,231.19422128,,
2023,2,53,530020176,13,11,5,,,,,2,1,10,8,6,1,1,2.0,1.0,,,,,,,289.210825,,
2024,4,31,310038583,9,11,2,,,,,2,1,15,3,3,1,4,3.0,1.0,,,,,,,729.98537799,,
2024,2,25,250022096,5,11,1,,,,,1,4,62,1,2,1,4,2.0,2.0,,,,,,,414.55087579,,
2023,4,26,260009260,1,11,2,8.0,2.0,2.0,1.0,1,4,55,2,3,2,4,2.0,2.0,2.0,7.0,1.0,,4.0,34.0,218.71665778,3000.0,3000.0
2023,4,42,420078772,9,10,1,9.0,2.0,1.0,1.0,1,1,50,1,4,2,4,5.0,2.0,4.0,7.0,1.0,,4.0,40.0,95.43741511,2500.0,2500.0
2023,2,28,280010676,5,10,3,,,,,1,1,18,3,3,1,1,5.0,2.0,,,,,,,274.9001937,,
2025,1,26,260010533,9,12,2,9.0,2.0,2.0,1.0,1,1,47,2,4,1,4,5.0,2.0,5.0,8.0,1.0,,3.0,40.0,1457.70850773,400.0,400.0
2024,3,13,130036609,5,12,2,,,,,1,1,6,3,3,1,1,1.0,1.0,,,,,,,557.88792612,,
2023,1,32,320009081,4,10,3,,,,,1,1,24,3,5,2,4,7.0,2.0,,,,,,,189.57132677,,
2023,3,33,330184750,9,11,1,9.0,2.0,2.0,1.0,1,4,45,1,2,1,2,5.0,2.0,4.0,5.0,1.0,,4.0,44.0,567.40640401,2400.0,2400.0
2023,1,15,150015620,9,10,3,1.0,,1.0,1.0,2,1,53,10,3,1,1,5.0,2.0,9.0,3.0,2.0,2.0,4.0,42.0,320.53823462,1953.0,1953.0
2025,4,23,230032060,9,12,1,,,,,1,1,63,1,1,1,4,2.0,2.0,,,,,,,243.42270063,,
2023,3,41,410062348,6,11,3,,,,,1,4,29,3,6,1,2,1.0,2.0,,,,,,,619.25508817,,
2024,4,13,130019093,2,11,2,1.0,,1.0,1.0,1,1,51,3,5,1,1,5.0,2.0,6.0,5.0,4.0,2.0,3.0,36.0,296.45047178,1500.0,1500.0
2024,2,35,350524090,9,11,2,4.0,,2.0,1.0,2,1,22,3,3,1,4,5.0,2.0,11.0,5.0,,,3.0,35.0,1524.24768853,900.0,900.0
2024,2,11,110001024,6,11,3,1.0,,1.0,1.0,2,4,45,3,3,1,1,6.0,2.0,9.0,4.0,2.0,2.0,4.0,40.0,76.8042067,2000.0,2000.0
2024,3,33,330288258,13,11,2,,,,,2,1,79,6,3,1,2,7.0,2.0,,,,,,,236.85095787,,
2023,4,32,320073950,3,10,1,8.0,1.0,1.0,1.0,1,1,37,1,1,1,4,5.0,2.0,4.0,5.0,1.0,,4.0,60.0,280.17489856,1000.0,1000.0
2025,2,23,230235522,9,12,1,1.0,,1.0,1.0,1,4,32,1,3,1,4,5.0,2.0,2.0,7.0,2.0,2.0,4.0,48.0,567.56975852,2000.0,2000.0
2023,3,29,290295981,13,10,3,,,,,1,4,9,3,3,1,4,2.0,1.0,,,,,,,1502.2478048,,
2023,3,28,280025869,4,11,4,,,,,1,4,2,3,4,1,4,,,,,,,,,381.2685713,,
2024,4,51,510024386,7,12,3,,,,,1,4,7,3,4,1,1,1.0,1.0,,,,,,,296.04138174,,
2023,4,31,310209345,11,10,3,,,,,1,1,23,12,3,2,4,5.0,2.0,,,,,,,394.7000139,,
2024,1,15,150034325,6,11,2,4.0,,2.0,1.0,2,4,56,2,4,1,1,3.0,2.0,11.0,9.0,,,1.0,8.0,351.98149472,150.0,150.0
2024,4,23,230082410,8,11,2,,,,,1,4,77,2,2,1,1,1.0,2.0,,,,,,,241.69994928,,
2023,4,29,290230966,12,11,1,2.0,,1.0,1.0,1,5,38,1,4,2,4,4.0,2.0,1.0,9.0,1.0,2.0,1.0,40.0,707.62731638,300.0,0.0
